IDCARRITO;DOCUMENTOCLIENTE;IDSUCURSAL;CODIGOBARRAS;CANTIDAD;PRECIOTOTAL;PRECIOUNITARIO;
1;1000000;1;1000000000000;7;35000;5000;65060
1;1000000;1;1000000000150;6;30060;5010;
2;1000001;1;1000000000000;14;70280;5020;75310
2;1000001;1;1000000000150;1;5030;5030;
3;1000002;1;1000000000000;11;55440;5040;85740
3;1000002;1;1000000000150;6;30300;5050;
4;1000003;1;1000000000000;5;25300;5060;81070
4;1000003;1;1000000000150;11;55770;5070;
5;1000004;1;1000000000000;11;55880;5080;122050
5;1000004;1;1000000000150;13;66170;5090;
6;1000005;1;1000000000000;11;56100;5100;117420
6;1000005;1;1000000000150;12;61320;5110;
7;1000006;1;1000000000000;6;30720;5120;71760
7;1000006;1;1000000000150;8;41040;5130;
8;1000007;2;1000000000001;12;61680;5140;77130
8;1000007;2;1000000000151;3;15450;5150;
9;1000008;2;1000000000001;10;51600;5160;118810
9;1000008;2;1000000000151;13;67210;5170;
10;1000009;2;1000000000001;12;62160;5180;72540
10;1000009;2;1000000000151;2;10380;5190;
11;1000010;2;1000000000001;4;20800;5200;31220
11;1000010;2;1000000000151;2;10420;5210;
12;1000011;2;1000000000001;7;36540;5220;94070
12;1000011;2;1000000000151;11;57530;5230;
13;1000012;2;1000000000001;13;68120;5240;78620
13;1000012;2;1000000000151;2;10500;5250;
14;1000013;2;1000000000001;12;63120;5260;105280
14;1000013;2;1000000000151;8;42160;5270;
15;1000014;3;1000000000002;7;36960;5280;68700
15;1000014;3;1000000000152;6;31740;5290;
16;1000015;3;1000000000002;5;26500;5300;68980
16;1000015;3;1000000000152;8;42480;5310;
17;1000016;3;1000000000002;8;42560;5320;101190
17;1000016;3;1000000000152;11;58630;5330;
18;1000017;3;1000000000002;14;74760;5340;101510
18;1000017;3;1000000000152;5;26750;5350;
19;1000018;3;1000000000002;11;58960;5360;118030
19;1000018;3;1000000000152;11;59070;5370;
20;1000019;3;1000000000002;4;21520;5380;48470
20;1000019;3;1000000000152;5;26950;5390;
21;1000020;3;1000000000002;9;48600;5400;75650
21;1000020;3;1000000000152;5;27050;5410;
22;1000021;4;1000000000003;8;43360;5420;59650
22;1000021;4;1000000000153;3;16290;5430;
23;1000022;4;1000000000003;13;70720;5440;114320
23;1000022;4;1000000000153;8;43600;5450;
24;1000023;4;1000000000003;4;21840;5460;87480
24;1000023;4;1000000000153;12;65640;5470;
25;1000024;4;1000000000003;1;5480;5480;10970
25;1000024;4;1000000000153;1;5490;5490;
26;1000025;4;1000000000003;6;33000;5500;55040
26;1000025;4;1000000000153;4;22040;5510;
27;1000026;4;1000000000003;2;11040;5520;88460
27;1000026;4;1000000000153;14;77420;5530;
28;1000027;4;1000000000003;10;55400;5540;99800
28;1000027;4;1000000000153;8;44400;5550;
29;1000028;5;1000000000004;9;50040;5560;94600
29;1000028;5;1000000000154;8;44560;5570;
30;1000029;5;1000000000004;3;16740;5580;78230
30;1000029;5;1000000000154;11;61490;5590;
31;1000030;5;1000000000004;1;5600;5600;50480
31;1000030;5;1000000000154;8;44880;5610;
32;1000031;5;1000000000004;12;67440;5620;101220
32;1000031;5;1000000000154;6;33780;5630;
33;1000032;5;1000000000004;3;16920;5640;90370
33;1000032;5;1000000000154;13;73450;5650;
34;1000033;5;1000000000004;3;16980;5660;45330
34;1000033;5;1000000000154;5;28350;5670;
35;1000034;5;1000000000004;6;34080;5680;108050
35;1000034;5;1000000000154;13;73970;5690;
36;1000035;6;1000000000005;10;57000;5700;96970
36;1000035;6;1000000000155;7;39970;5710;
37;1000036;6;1000000000005;12;68640;5720;131670
37;1000036;6;1000000000155;11;63030;5730;
38;1000037;6;1000000000005;5;28700;5740;57450
38;1000037;6;1000000000155;5;28750;5750;
39;1000038;6;1000000000005;11;63360;5760;109520
39;1000038;6;1000000000155;8;46160;5770;
40;1000039;6;1000000000005;10;57800;5780;69380
40;1000039;6;1000000000155;2;11580;5790;
41;1000040;6;1000000000005;3;17400;5800;40640
41;1000040;6;1000000000155;4;23240;5810;
42;1000041;6;1000000000005;13;75660;5820;122300
42;1000041;6;1000000000155;8;46640;5830;
43;1000042;7;1000000000006;13;75920;5840;116870
43;1000042;7;1000000000156;7;40950;5850;
44;1000043;7;1000000000006;4;23440;5860;105620
44;1000043;7;1000000000156;14;82180;5870;
45;1000044;7;1000000000006;2;11760;5880;70660
45;1000044;7;1000000000156;10;58900;5890;
46;1000045;7;1000000000006;7;41300;5900;64940
46;1000045;7;1000000000156;4;23640;5910;
47;1000046;7;1000000000006;3;17760;5920;65200
47;1000046;7;1000000000156;8;47440;5930;
48;1000047;7;1000000000006;10;59400;5940;112950
48;1000047;7;1000000000156;9;53550;5950;
49;1000048;7;1000000000006;12;71520;5960;113310
49;1000048;7;1000000000156;7;41790;5970;
50;1000049;8;1000000000007;10;59800;5980;77770
50;1000049;8;1000000000157;3;17970;5990;
51;1000050;8;1000000000007;13;78000;6000;126080
51;1000050;8;1000000000157;8;48080;6010;
52;1000051;8;1000000000007;9;54180;6020;108450
52;1000051;8;1000000000157;9;54270;6030;
53;1000052;8;1000000000007;12;72480;6040;126930
53;1000052;8;1000000000157;9;54450;6050;
54;1000053;8;1000000000007;11;66660;6060;121290
54;1000053;8;1000000000157;9;54630;6070;
55;1000054;8;1000000000007;14;85120;6080;158200
55;1000054;8;1000000000157;12;73080;6090;
56;1000055;8;1000000000007;14;85400;6100;158720
56;1000055;8;1000000000157;12;73320;6110;
57;1000056;9;1000000000008;2;12240;6120;98060
57;1000056;9;1000000000158;14;85820;6130;
58;1000057;9;1000000000008;10;61400;6140;147500
58;1000057;9;1000000000158;14;86100;6150;
59;1000058;9;1000000000008;4;24640;6160;55490
59;1000058;9;1000000000158;5;30850;6170;
60;1000059;9;1000000000008;4;24720;6180;86620
60;1000059;9;1000000000158;10;61900;6190;
61;1000060;9;1000000000008;2;12400;6200;99340
61;1000060;9;1000000000158;14;86940;6210;
62;1000061;9;1000000000008;9;55980;6220;62210
62;1000061;9;1000000000158;1;6230;6230;
63;1000062;9;1000000000008;9;56160;6240;112410
63;1000062;9;1000000000158;9;56250;6250;
64;1000063;10;1000000000009;6;37560;6260;62640
64;1000063;10;1000000000159;4;25080;6270;
65;1000064;10;1000000000009;3;18840;6280;88030
65;1000064;10;1000000000159;11;69190;6290;
66;1000065;10;1000000000009;3;18900;6300;25210
66;1000065;10;1000000000159;1;6310;6310;
67;1000066;10;1000000000009;14;88480;6320;139120
67;1000066;10;1000000000159;8;50640;6330;
68;1000067;10;1000000000009;8;50720;6340;126920
68;1000067;10;1000000000159;12;76200;6350;
69;1000068;10;1000000000009;5;31800;6360;82760
69;1000068;10;1000000000159;8;50960;6370;
70;1000069;10;1000000000009;8;51040;6380;127720
70;1000069;10;1000000000159;12;76680;6390;
71;1000070;11;1000000000010;14;89600;6400;172930
71;1000070;11;1000000000160;13;83330;6410;
72;1000071;11;1000000000010;3;19260;6420;25690
72;1000071;11;1000000000160;1;6430;6430;
73;1000072;11;1000000000010;3;19320;6440;64470
73;1000072;11;1000000000160;7;45150;6450;
74;1000073;11;1000000000010;12;77520;6460;142220
74;1000073;11;1000000000160;10;64700;6470;
75;1000074;11;1000000000010;8;51840;6480;58330
75;1000074;11;1000000000160;1;6490;6490;
76;1000075;11;1000000000010;11;71500;6500;143110
76;1000075;11;1000000000160;11;71610;6510;
77;1000076;11;1000000000010;7;45640;6520;124000
77;1000076;11;1000000000160;12;78360;6530;
78;1000077;12;1000000000011;1;6540;6540;58940
78;1000077;12;1000000000161;8;52400;6550;
79;1000078;12;1000000000011;5;32800;6560;124780
79;1000078;12;1000000000161;14;91980;6570;
80;1000079;12;1000000000011;2;13160;6580;92240
80;1000079;12;1000000000161;12;79080;6590;
81;1000080;12;1000000000011;10;66000;6600;92440
81;1000080;12;1000000000161;4;26440;6610;
82;1000081;12;1000000000011;11;72820;6620;145750
82;1000081;12;1000000000161;11;72930;6630;
83;1000082;12;1000000000011;8;53120;6640;146220
83;1000082;12;1000000000161;14;93100;6650;
84;1000083;12;1000000000011;2;13320;6660;100030
84;1000083;12;1000000000161;13;86710;6670;
85;1000084;13;1000000000012;6;40080;6680;106980
85;1000084;13;1000000000162;10;66900;6690;
86;1000085;13;1000000000012;13;87100;6700;181040
86;1000085;13;1000000000162;14;93940;6710;
87;1000086;13;1000000000012;14;94080;6720;147920
87;1000086;13;1000000000162;8;53840;6730;
88;1000087;13;1000000000012;11;74140;6740;121390
88;1000087;13;1000000000162;7;47250;6750;
89;1000088;13;1000000000012;14;94640;6760;108180
89;1000088;13;1000000000162;2;13540;6770;
90;1000089;13;1000000000012;14;94920;6780;149240
90;1000089;13;1000000000162;8;54320;6790;
91;1000090;13;1000000000012;9;61200;6800;81630
91;1000090;13;1000000000162;3;20430;6810;
92;1000091;14;1000000000013;4;27280;6820;40940
92;1000091;14;1000000000163;2;13660;6830;
93;1000092;14;1000000000013;1;6840;6840;68490
93;1000092;14;1000000000163;9;61650;6850;
94;1000093;14;1000000000013;13;89180;6860;171620
94;1000093;14;1000000000163;12;82440;6870;
95;1000094;14;1000000000013;4;27520;6880;48190
95;1000094;14;1000000000163;3;20670;6890;
96;1000095;14;1000000000013;12;82800;6900;110440
96;1000095;14;1000000000163;4;27640;6910;
97;1000096;14;1000000000013;1;6920;6920;34640
97;1000096;14;1000000000163;4;27720;6930;
98;1000097;14;1000000000013;12;83280;6940;104130
98;1000097;14;1000000000163;3;20850;6950;
99;1000098;15;1000000000014;1;6960;6960;27870
99;1000098;15;1000000000164;3;20910;6970;
100;1000099;15;1000000000014;6;41880;6980;83820
100;1000099;15;1000000000164;6;41940;6990;
101;1000100;15;1000000000014;5;35000;7000;77060
101;1000100;15;1000000000164;6;42060;7010;
102;1000101;15;1000000000014;2;14040;7020;63250
102;1000101;15;1000000000164;7;49210;7030;
103;1000102;15;1000000000014;10;70400;7040;133850
103;1000102;15;1000000000164;9;63450;7050;
104;1000103;15;1000000000014;10;70600;7060;162510
104;1000103;15;1000000000164;13;91910;7070;
105;1000104;15;1000000000014;11;77880;7080;84970
105;1000104;15;1000000000164;1;7090;7090;
106;1000105;16;1000000000015;8;56800;7100;78130
